paper_id,title,year,manufacturing_domain,rl_method,baseline,kpis,notes,statistical_testing,deployment_status,code_available,simulator_available
RL-JSSP-2020,Deep Reinforcement Learning for Flexible Job Shop Scheduling,2020,Flexible job shop,CNN-enhanced deep RL,"SPT, ATC, tabu search","makespan, weighted tardiness","Taillard + real-world case; simulation only.","paired t-test vs heuristics","Simulation only","No","Taillard benchmark"
RL-GNN-2021,Graph Attention Reinforcement Learning for Generalizable Job Shop Scheduling,2021,Job shop,Graph attention actor-critic,"SPT, EDD, priority dispatch","makespan, generalization gap","Demonstrates zero-shot transfer when job count varies.","none reported","Simulation only","No","Custom simulator"
RL-MARL-2021,Cooperative Multi-Agent Deep Reinforcement Learning for Flexible Flow-Shop Scheduling,2021,Flexible flow shop,Cooperative MARL policy gradients,"Dispatching rules (FIFO, ATC)","average flow time, throughput","Evaluated under varying buffer capacities.","none reported","Simulation only","No","Custom simulator"
RL-PPO-2022,Adaptive Flexible Job-Shop Scheduling via Proximal Policy Optimization,2022,Flexible job shop,PPO actor-critic,"ATC, GA, MILP (small instances)","tardiness, rush order response time","Incorporates resource calendars and changeover costs.","Wilcoxon signed-rank","Simulation only","No","Custom simulator"
RL-HYBRID-2023,Hybrid Reinforcement Learning and Constraint Programming for Flexible Job-Shop Scheduling,2023,Flexible job shop,RL policy + CP-SAT refinement,CP-SAT only,"makespan, feasibility rate","RL proposes machine assignments; OR ensures constraint satisfaction.","paired t-test","Simulation only","No","CP-SAT model only"
RL-ENERGY-2021,Energy-Aware Production Scheduling Using Deep Reinforcement Learning,2021,Flow shop energy-aware,Dueling DQN,"rule-based energy shedding","energy consumption, makespan","Considers time-of-use tariffs; maintains throughput within 2%.","none reported","Simulation only","No","Proprietary simulator"
RL-MAINT-2022,Joint Scheduling and Predictive Maintenance via Multi-Objective Reinforcement Learning,2022,Assembly/flow line,Multi-objective RL (policy gradient),"deterministic maintenance scheduler","downtime, throughput, mean time between failures","Adds machine health signals to state; tested on digital twin.","none reported","Digital twin only","No","Digital twin (private)"
RL-SEMICON-2020,Deep Reinforcement Learning for Wafer Lot Scheduling in Semiconductor Fabs,2020,Semiconductor fab,Double DQN,"dispatching heuristics, MILP (small cases)","cycle time, throughput, WIP","Evaluated on 300mm fab model with re-entrant flow.","paired t-test","Simulation only","No","Proprietary fab model"
RL-HFLOW-2021,Hierarchical Reinforcement Learning for Hybrid Flow Shop Scheduling,2021,Hybrid flow shop,Hierarchical RL (options+policies),"SPT, NEH, genetic algorithm","makespan, tardiness","Stage-level manager allocates buffers; sub-policies choose machines.","ANOVA on makespan","Simulation only","No","Custom simulator"
RL-MARL-ROBUST-2022,Robust Multi-Agent Reinforcement Learning for Disturbed Job Shops,2022,Job shop (disturbed),Decentralized MARL with resilience bonuses,"ATC, robust tabu search","makespan, recovery time","Includes machine breakdown scenarios and re-training triggers.","none reported","Simulation only","No","Custom simulator"
